,latitude,longitude,frp
187,-37.75311,148.21767,4.1
188,-37.75274,148.18832,2.6
189,-37.75247,148.21284,4.2
190,-37.75242,148.08043,3.2
191,-37.7522,148.23756,4.2
192,-37.75209,148.18352,1.5
193,-37.75182,148.20808,4.2
194,-37.75156,148.23276,2.6
195,-37.75145,148.17868,1.5
196,-37.75118,148.20331,2.5
197,-37.75092,148.22797,2.6
198,-37.75055,148.19855,2.5
199,-37.75048,148.06613,1.7
200,-37.75027,148.22319,5.5
201,-37.74991,148.19382,2.6
202,-37.74983,148.06139,1.7
203,-37.74963,148.2184,5.5
204,-37.74927,148.18907,2.6
205,-37.74919,148.05667,3.2
206,-37.74899,148.21359,34.8
207,-37.74872,148.2383,4.2
208,-37.74863,148.18428,1.5
209,-37.74835,148.2088,34.8
210,-37.74808,148.23351,2.6
211,-37.74798,148.17949,1.5
212,-37.74771,148.20403,9.6
213,-37.74744,148.22871,2.6
214,-37.74734,148.17471,2.4
215,-37.74707,148.19928,9.6
216,-37.7468,148.22392,5.5
217,-37.74655,148.11598,1.6
218,-37.74643,148.19452,2.8
219,-37.74615,148.21912,5.5
220,-37.74591,148.11124,1.6
221,-37.74588,148.24384,3.1
222,-37.74579,148.1898,2.8
223,-37.74551,148.21432,34.8
224,-37.74524,148.23904,3.1
225,-37.74515,148.18501,2.1
226,-37.74487,148.20953,34.8
227,-37.7446,148.23424,4.1
228,-37.74451,148.18025,2.1
229,-37.74423,148.20476,9.6
230,-37.74396,148.22945,4.1
231,-37.74387,148.17546,1.7
232,-37.74359,148.2,9.6
233,-37.74332,148.22466,6.1
234,-37.74305,148.24939,8.3
235,-37.74295,148.19524,2.8
236,-37.74268,148.21988,6.1
237,-37.74258,148.16586,1.2
238,-37.74244,148.11198,1.9
239,-37.74241,148.24458,3.1
240,-37.74231,148.19049,2.8
241,-37.74204,148.08272,3.4
242,-37.74204,148.21506,30.4
243,-37.74181,148.10728,3.8
244,-37.74176,148.23978,3.1
245,-37.74168,148.18573,2.1
246,-37.7414,148.07797,3.4
247,-37.74139,148.21028,30.4
248,-37.74113,148.235,4.1
249,-37.74103,148.18094,2.1
250,-37.74075,148.20549,6.0
251,-37.74064,148.15146,2.6
252,-37.74048,148.23019,4.1
253,-37.74039,148.17618,1.7
254,-37.74022,148.25494,3.5
255,-37.74012,148.20071,6.0
256,-37.73984,148.2254,6.1
257,-37.73975,148.1714,1.7
258,-37.73975,149.43549,31.8
259,-37.73957,148.25014,3.5
260,-37.73948,148.19595,3.9
261,-37.7392,148.2206,6.1
262,-37.73911,148.1666,1.2
263,-37.73898,148.11273,1.9
264,-37.73893,148.24536,5.0
265,-37.73883,148.19118,3.9
266,-37.73859,148.08354,1.9
267,-37.73856,148.21582,30.4
268,-37.73846,148.16182,1.2
269,-37.73829,148.24055,5.0
270,-37.73819,148.18642,16.1
271,-37.73794,148.07874,1.2
272,-37.73792,148.21101,30.4
273,-37.73765,148.23575,7.5
274,-37.73755,148.18163,16.1
275,-37.73738,148.26054,8.8
276,-37.73728,148.20622,6.0
277,-37.73701,148.23096,7.5
278,-37.73692,148.17688,2.5
279,-37.73673,148.25571,3.5
280,-37.73664,148.06915,1.2
281,-37.73664,148.20145,6.0
282,-37.73653,148.14743,3.7
283,-37.73637,148.22615,11.8
284,-37.73627,148.17213,2.5
285,-37.73609,148.25089,3.5
286,-37.736,148.19667,3.9
287,-37.73573,148.22133,11.8
288,-37.73564,148.16737,3.0
289,-37.73545,148.24609,5.0
290,-37.73536,148.19189,3.9
291,-37.73513,148.0843,1.9
292,-37.73508,148.21655,53.9
293,-37.73499,148.16257,3.0
294,-37.73481,148.24129,5.0
295,-37.73472,148.18712,16.1
296,-37.73454,148.26607,3.5
297,-37.73448,148.07948,1.2
298,-37.73444,148.21176,53.9
299,-37.73435,148.15779,4.4
300,-37.73417,148.23648,7.5
301,-37.73408,148.18233,16.1
302,-37.73389,148.26126,3.5
303,-37.73383,148.07466,1.2
304,-37.7338,148.20695,26.8
305,-37.7337,148.15298,4.4
306,-37.73353,148.23167,7.5
307,-37.73344,148.1776,2.5
308,-37.73325,148.25644,6.7
309,-37.73318,148.06987,1.2
310,-37.73316,148.20216,26.8
311,-37.73306,148.14821,2.4
312,-37.73289,148.22687,11.8
313,-37.73281,148.17288,2.5
314,-37.73262,148.25163,6.7
315,-37.73253,148.06511,1.2
316,-37.73252,148.1974,7.3
317,-37.73242,148.14343,2.4
318,-37.73225,148.22209,11.8
319,-37.73217,148.16812,3.0
320,-37.73198,148.24684,12.1
321,-37.73188,148.19261,7.3
322,-37.73161,148.21727,53.9
323,-37.73153,148.16335,3.0
324,-37.73133,148.24203,12.1
325,-37.73124,148.18784,11.0
326,-37.73105,148.26682,3.5
327,-37.73088,148.15857,4.4
328,-37.73069,148.23721,21.0
329,-37.7306,148.18307,11.0
330,-37.73042,148.26201,3.5
331,-37.73037,148.07539,3.8
332,-37.73032,148.20769,26.8
333,-37.73024,148.15376,4.4
334,-37.73005,148.23242,21.0
335,-37.72997,148.1783,12.3
336,-37.72978,148.25719,6.7
337,-37.72969,148.20291,26.8
338,-37.7296,148.14897,2.4
339,-37.72941,148.22762,68.6
340,-37.72933,148.1736,12.3
341,-37.72913,148.25237,6.7
342,-37.72905,148.19812,7.3
343,-37.72895,148.14418,2.4
344,-37.72877,148.22281,68.6
345,-37.7287,148.16888,5.9
346,-37.7285,148.24759,12.1
347,-37.7284,148.19334,7.3
348,-37.72821,148.27232,5.5
349,-37.72806,148.16411,5.9
350,-37.72786,148.24278,12.1
351,-37.72776,148.18857,11.0
352,-37.72757,148.26753,10.1
353,-37.72749,148.21323,657.5
354,-37.72742,148.15932,20.7
355,-37.72721,148.23796,21.0
356,-37.72713,148.18379,11.0
357,-37.72693,148.26274,10.1
358,-37.72685,148.20842,61.8
359,-37.72677,148.15448,20.7
360,-37.72657,148.23315,21.0
361,-37.72649,148.17906,12.3
362,-37.7263,148.2579,62.9
363,-37.72621,148.20363,61.8
364,-37.72613,148.1497,7.1
365,-37.72594,148.22835,68.6
366,-37.72587,148.17436,12.3
367,-37.72565,148.2531,62.9
368,-37.72557,148.19884,36.1
369,-37.72548,148.14491,7.1
370,-37.72529,148.22354,68.6
371,-37.72523,148.16965,5.9
372,-37.72512,149.32745,395.2
373,-37.72502,148.24831,275.4
374,-37.72493,148.19406,36.1
375,-37.72472,148.27306,5.5
376,-37.72466,148.21875,657.5
377,-37.72459,148.16486,5.9
378,-37.72429,148.18929,64.9
379,-37.72409,148.26826,10.1
380,-37.72401,148.21396,657.5
381,-37.72395,148.16003,20.7
382,-37.72366,148.18454,64.9
383,-37.72345,148.26344,10.1
384,-37.72337,148.20917,61.8
385,-37.7233,148.15521,20.7
386,-37.7231,148.23387,256.1
387,-37.72303,148.17981,26.2
388,-37.72281,148.25865,62.9
389,-37.72274,148.20436,61.8
390,-37.72266,148.15044,7.1
391,-37.72246,148.2291,313.2
392,-37.72239,148.17508,26.2
393,-37.72209,148.19958,36.1
394,-37.72202,148.14565,7.1
395,-37.72182,148.22429,313.2
396,-37.72179,149.32664,249.9
397,-37.72176,148.17039,8.3
398,-37.72153,148.24902,275.4
399,-37.72145,148.19479,36.1
400,-37.72137,148.14087,1.8
401,-37.72124,148.27377,14.0
402,-37.72118,148.21948,276.6
403,-37.72112,148.16562,8.3
404,-37.7209,148.24423,275.4
405,-37.72082,148.19002,64.9
406,-37.72073,148.13611,1.8
407,-37.7206,148.269,40.0
408,-37.72054,148.21469,276.6
409,-37.72048,148.16081,7.4
410,-37.72026,148.23941,256.1
411,-37.72019,148.18527,64.9
412,-37.72009,148.13135,3.7
413,-37.71997,148.26418,40.0
414,-37.7199,148.2099,248.2
415,-37.71983,148.15598,7.4
416,-37.71962,148.23462,256.1
417,-37.71955,148.18056,26.2
418,-37.71933,148.25937,58.0
419,-37.71926,148.20511,248.2
420,-37.71919,148.15117,16.8
421,-37.71898,148.22981,313.2
422,-37.71893,148.17583,26.2
423,-37.71869,148.25456,58.0
424,-37.71862,148.20032,206.1
425,-37.71855,148.14638,16.8
426,-37.71846,147.8069,6.3
427,-37.71846,149.32585,249.9
428,-37.7184,148.2793,14.0
429,-37.71829,148.17114,8.3
430,-37.71806,148.24976,115.2
431,-37.71798,148.19553,206.1
432,-37.7179,148.1416,19.9
433,-37.7178,147.80219,5.9
434,-37.71775,148.27452,14.0
435,-37.7177,148.22023,276.6
436,-37.71766,148.16635,8.3
437,-37.71754,148.1124,4.6
438,-37.71742,148.24498,115.2
439,-37.71735,148.19077,89.5
440,-37.71727,148.13683,19.9
441,-37.71712,148.26971,40.0
442,-37.71708,149.47092,49.3
443,-37.71707,148.21544,276.6
444,-37.71701,148.16156,7.4
445,-37.71671,148.18602,89.5
446,-37.71663,148.13206,3.5
447,-37.71648,148.26492,40.0
448,-37.71642,148.21063,248.2
449,-37.71636,148.15672,7.4
450,-37.71614,148.23535,127.8
451,-37.71608,148.1813,43.8
452,-37.71599,148.12733,3.5
453,-37.71585,148.2601,58.0
454,-37.71579,148.20584,248.2
455,-37.71572,148.15193,16.8
456,-37.71545,148.17659,43.8
457,-37.71535,148.12257,2.4
458,-37.71521,148.25529,58.0
459,-37.71515,148.20105,206.1
460,-37.71508,148.14713,16.8
461,-37.71491,148.28,20.5
462,-37.71486,148.22575,162.4
463,-37.71482,148.17186,7.5
464,-37.71472,148.11784,2.4
465,-37.71457,148.25049,115.2
466,-37.71451,148.19627,206.1
467,-37.71446,149.32945,230.0
468,-37.71444,148.14235,19.9
469,-37.71443,149.46574,19.8
470,-37.71437,147.80295,4.0
471,-37.71427,148.27522,20.5
472,-37.71423,148.22095,67.9
473,-37.71418,148.16708,7.5
474,-37.71408,148.11311,2.6
475,-37.71394,148.24571,115.2
476,-37.71387,148.19151,89.5
477,-37.7138,149.33383,230.0
478,-37.71379,148.13756,19.9
479,-37.71364,148.27045,36.6
480,-37.71358,148.21617,67.9
481,-37.71354,148.16231,8.3
482,-37.71344,148.10834,2.6
483,-37.7133,148.24089,127.8
484,-37.71324,148.18675,89.5
485,-37.71316,148.1328,3.5
486,-37.71301,148.26566,36.6
487,-37.71295,148.2114,193.1
488,-37.71289,148.1575,8.3
489,-37.71267,148.23608,127.8
490,-37.71261,148.18205,43.8
491,-37.71252,148.12804,3.5
492,-37.71237,148.26085,36.1
493,-37.71231,148.20659,193.1
494,-37.71225,148.15271,12.2
495,-37.71202,148.23131,162.4
496,-37.71198,148.17734,43.8
497,-37.71188,148.12331,2.4
498,-37.71173,148.25601,36.1
499,-37.71168,148.2018,111.9
500,-37.71161,148.14789,12.2
501,-37.71159,147.8084,4.8
502,-37.71142,148.28073,20.5
503,-37.71139,148.2265,162.4
504,-37.71135,148.17259,7.5
505,-37.71124,148.11856,2.4
506,-37.7111,149.46494,19.8
507,-37.71109,148.25121,49.0
508,-37.71104,148.19702,111.9
509,-37.71097,148.1431,21.7
510,-37.71094,147.8037,4.0
511,-37.71079,148.27596,20.5
512,-37.71075,148.22171,67.9
513,-37.71071,148.16783,7.5
514,-37.71061,148.11383,2.6
515,-37.71046,148.24643,49.0
516,-37.71043,149.46931,19.8
517,-37.7104,148.19225,68.1
518,-37.71033,148.13832,21.7
519,-37.71016,148.27116,36.6
520,-37.71011,148.21689,67.9
521,-37.71007,148.16304,8.3
522,-37.70996,148.10904,2.6
523,-37.70982,148.24165,69.0
524,-37.70977,148.18752,68.1
525,-37.70969,148.13354,33.1
526,-37.70952,148.26637,36.6
527,-37.70947,148.21211,193.1
528,-37.70943,148.15823,8.3
529,-37.70919,148.23685,69.0
530,-37.70914,148.18279,54.0
531,-37.70905,148.12877,33.1
532,-37.70898,147.78957,4.5
533,-37.70889,148.26157,36.1
534,-37.70884,148.20732,193.1
535,-37.70879,148.15344,12.2
536,-37.70855,148.23203,96.9
537,-37.70851,148.17809,54.0
538,-37.70841,148.12402,12.5
539,-37.70825,148.25674,36.1
540,-37.7082,148.20253,111.9
541,-37.70815,147.8091,4.9
542,-37.70815,148.14865,12.2
543,-37.70794,148.28143,7.9
544,-37.70791,148.22725,96.9
545,-37.70787,148.17331,8.3
546,-37.70778,148.11926,12.5
547,-37.70761,148.25195,49.0
548,-37.70757,148.19775,111.9
549,-37.7075,148.14386,21.7
550,-37.70749,147.8044,4.5
551,-37.70731,148.27664,7.9
552,-37.70728,148.22244,46.4
553,-37.70724,148.16858,8.3
554,-37.70714,148.11452,2.6
555,-37.70714,149.33223,142.4
556,-37.70711,148.2785,7.7
557,-37.7071,149.46851,29.2
558,-37.70698,148.24715,49.0
559,-37.70693,148.19299,68.1
560,-37.70687,148.13908,21.7
561,-37.70685,147.79976,4.5
562,-37.70667,148.27188,21.3
563,-37.70664,148.21767,46.4
564,-37.7066,148.16379,5.4
565,-37.70648,149.33662,83.1
566,-37.70646,148.27374,7.7
567,-37.70634,148.24239,69.0
568,-37.7063,148.18823,68.1
569,-37.70623,148.13431,33.1
570,-37.70621,147.79507,4.5
571,-37.70604,148.26709,21.3
572,-37.706,148.21284,37.8
573,-37.70596,148.15898,5.4
574,-37.70586,148.10498,3.5
575,-37.70581,148.26897,25.1
576,-37.70572,148.23761,69.0
577,-37.70566,148.18352,54.0
578,-37.70559,148.12952,33.1
579,-37.70541,148.2623,29.6
580,-37.70536,148.20805,37.8
581,-37.70532,148.15419,6.6
582,-37.70521,148.10017,3.5
583,-37.70517,148.26419,25.1
584,-37.70511,149.45895,31.2
585,-37.70507,148.23279,96.9
586,-37.70504,148.1788,54.0
587,-37.70494,148.12474,12.5
588,-37.70491,147.78569,7.5
589,-37.70477,148.25748,29.6
590,-37.70473,148.20326,36.8
591,-37.70468,148.14943,6.6
592,-37.70456,148.09535,1.9
593,-37.70451,148.25938,26.0
594,-37.70445,148.28214,7.9
595,-37.70444,148.22798,96.9
596,-37.70444,149.46332,29.2
597,-37.7044,148.17406,8.3
598,-37.70431,148.11998,12.5
599,-37.7042,148.06619,5.2
600,-37.70413,148.25267,29.3
601,-37.70409,148.1985,36.8
602,-37.70406,147.8051,4.5
603,-37.70404,148.14464,8.9
604,-37.70392,148.09052,1.9
605,-37.70386,148.25456,26.0
606,-37.70382,148.27737,7.9
607,-37.7038,148.22319,46.4
608,-37.70377,148.1693,8.3
609,-37.70367,148.11522,2.6
610,-37.70362,148.27922,7.7
611,-37.7035,148.24788,29.3
612,-37.70346,148.19373,41.5
613,-37.70341,147.80048,4.5
614,-37.7034,148.13985,8.9
615,-37.70321,148.24977,33.0
616,-37.70319,148.2726,21.3
617,-37.70316,148.21838,46.4
618,-37.70315,149.33583,83.1
619,-37.70313,148.16452,5.4
620,-37.70303,148.11047,2.6
621,-37.70298,148.27444,7.7
622,-37.70287,148.2431,56.4
623,-37.70282,148.18898,41.5
624,-37.70277,147.79582,4.5
625,-37.70276,148.13504,17.3
626,-37.70266,148.08113,2.7
627,-37.70256,148.24501,33.0
628,-37.70256,148.26781,21.3
629,-37.70253,148.21358,37.8
630,-37.70249,148.15971,5.4
631,-37.70233,148.26968,25.1
632,-37.70223,148.23833,56.4
633,-37.7022,148.18427,39.2
634,-37.70212,147.79111,4.5
635,-37.70212,148.13026,17.3
636,-37.70202,148.07643,2.5
637,-37.70193,148.26303,29.6
638,-37.70191,148.24022,53.5
639,-37.70189,148.20879,37.8
640,-37.70185,148.15492,6.6
641,-37.70178,149.45815,32.7
642,-37.70168,148.26489,25.1
643,-37.7016,148.23354,46.6
644,-37.70157,148.17957,39.2
645,-37.70148,148.12547,31.1
646,-37.70147,147.78641,7.5
647,-37.70138,148.0717,2.5
648,-37.70129,148.25821,29.6
649,-37.70127,148.23547,53.5
650,-37.70125,148.20399,36.8
651,-37.70121,148.15012,6.6
652,-37.70111,149.46252,21.0
653,-37.7011,148.09601,1.9
654,-37.70103,148.26012,26.0
655,-37.701,148.04243,3.2
656,-37.70096,148.22873,46.6
657,-37.70093,148.1748,6.6
658,-37.70084,148.12071,31.1
659,-37.70065,148.25339,29.3
660,-37.70061,147.80582,5.3
661,-37.70061,148.19922,36.8
662,-37.70061,148.23067,36.8
663,-37.70057,148.14537,8.9
664,-37.70045,148.0912,1.9
665,-37.70038,148.25529,26.0
666,-37.70033,148.22392,36.5
667,-37.7003,148.17004,6.6
668,-37.7002,148.11595,17.7
669,-37.70002,148.2486,29.3
670,-37.69999,148.19446,41.5
671,-37.69996,147.80112,5.3
672,-37.69996,148.22586,36.8
673,-37.69993,148.14058,8.9
674,-37.69981,148.08646,2.7
675,-37.69973,148.2505,33.0
676,-37.69969,148.21913,36.5
677,-37.69966,148.16525,5.3
678,-37.69956,148.11119,17.7
679,-37.69939,148.24384,56.4
680,-37.69935,148.18971,41.5
681,-37.69933,147.79651,9.3
682,-37.69931,148.22107,34.9
683,-37.6993,148.1358,17.3
684,-37.69918,148.08182,2.7
685,-37.69908,148.24571,33.0
686,-37.69905,148.21431,36.4
687,-37.69902,148.16046,5.3
688,-37.69893,148.1064,4.3
689,-37.69884,148.27037,22.2
690,-37.69875,148.23906,56.4
691,-37.69872,148.18498,39.2
692,-37.69868,147.79181,9.3
693,-37.69865,148.131,17.3
694,-37.69865,148.21628,34.9
695,-37.69856,148.07718,2.5
696,-37.69846,149.45734,32.7
697,-37.69843,148.24097,53.5
698,-37.69841,148.20952,36.4
699,-37.69838,148.15565,7.5
700,-37.69827,148.10155,4.3
701,-37.6982,148.26561,22.2
702,-37.69812,148.23425,46.6
703,-37.69809,148.18027,39.2
704,-37.69804,147.7872,15.9
705,-37.69801,148.12621,31.1
706,-37.698,148.21147,34.8
707,-37.69792,148.07242,2.5
708,-37.69779,148.23619,53.5
709,-37.69779,149.46173,21.0
710,-37.69778,148.20473,34.0
711,-37.69774,148.15085,7.5
712,-37.69762,148.09665,3.1
713,-37.69755,148.26083,32.5
714,-37.69749,148.22948,46.6
715,-37.69746,148.17554,6.6
716,-37.6974,147.7825,15.9
717,-37.69737,148.12141,31.1
718,-37.69735,148.20671,34.8
719,-37.69717,147.8065,5.3
720,-37.69714,148.19995,34.0
721,-37.69714,148.2314,36.8
722,-37.6971,148.14604,16.3
723,-37.69698,148.09183,3.1
724,-37.6969,148.25601,32.5
725,-37.69685,148.22467,36.5
726,-37.69683,148.17078,6.6
727,-37.69674,147.7778,6.7
728,-37.69673,148.11665,17.7
729,-37.6967,148.20192,32.5
730,-37.69652,147.80179,5.3
731,-37.69651,148.19519,36.7
732,-37.69649,148.22661,36.8
733,-37.69646,148.1413,16.3
734,-37.69633,148.08713,2.1
735,-37.69625,148.25122,42.1
736,-37.69621,148.21986,36.5
737,-37.69619,148.166,5.3
738,-37.6961,148.11191,17.7
739,-37.69609,147.7731,6.7
740,-37.69605,148.19716,32.5
741,-37.69588,147.79712,9.3
742,-37.69588,148.19043,36.7
743,-37.69584,148.2218,34.9
744,-37.69583,148.13652,24.7
745,-37.69572,148.08253,2.1
746,-37.6956,148.24644,42.1
747,-37.69558,148.21506,36.4
748,-37.69555,148.16119,5.3
749,-37.69545,148.1071,4.3
750,-37.69541,148.19241,35.1
751,-37.69536,148.2711,22.2
752,-37.69526,148.18573,19.8
753,-37.69523,147.79247,9.3
754,-37.69519,148.13173,24.7
755,-37.69518,148.21701,34.9
756,-37.69513,149.45653,25.6
757,-37.6951,148.07791,2.9
758,-37.69495,148.24165,36.4
759,-37.69494,148.21025,36.4
760,-37.69491,148.15637,7.5
761,-37.69481,148.10225,4.3
762,-37.69477,148.18767,35.1
763,-37.69472,148.26633,22.2
764,-37.69462,148.18102,19.8
765,-37.69461,147.7879,15.9
766,-37.69454,148.12694,28.4
767,-37.69453,148.2122,34.8
768,-37.69446,148.07318,2.9
769,-37.69431,148.20547,34.0
770,-37.69431,148.23691,36.4
771,-37.69427,148.15155,7.5
772,-37.69415,148.09735,3.1
773,-37.69412,148.18295,11.9
774,-37.69407,148.26155,32.5
775,-37.69399,148.17627,5.0
776,-37.69396,147.78323,15.9
777,-37.6939,148.12213,28.4
778,-37.69388,148.20743,34.8
779,-37.69367,148.20068,34.0
780,-37.69366,148.23213,31.5
