,latitude,longitude,frp
187,-38.11957,141.89397,1.3
188,-38.11827,141.8933,13.4
189,-38.11764,141.89783,13.4
190,-38.11673,141.89954,1.3
191,-38.11608,141.8947,1.3
192,-38.11543,141.88986,0.9
193,-38.1149,141.89255,31.1
194,-38.11478,141.88501,0.9
195,-38.11259,141.89542,1.3
196,-38.11216,141.88727,48.9
197,-38.11194,141.89059,2.2
198,-38.11129,141.88574,2.2
199,-38.11065,141.88091,1.7
200,-38.11,141.87608,1.7
201,-38.10934,141.87125,1.4
202,-38.1091,141.89616,1.3
203,-38.1087,141.86639,1.4
204,-38.10845,141.89133,2.2
205,-38.10815,141.89105,28.8
206,-38.10796,141.86769,22.0
207,-38.10781,141.88649,2.2
208,-38.10752,141.89555,28.8
209,-38.10733,141.87221,109.4
210,-38.10715,141.88165,1.7
211,-38.10651,141.87682,1.7
212,-38.10586,141.87196,1.4
213,-38.10561,141.89691,1.1
214,-38.10521,141.86713,1.4
215,-38.10496,141.89206,1.1
216,-38.10459,141.86694,32.8
217,-38.10456,141.8623,2.1
218,-38.10431,141.88722,1.1
219,-38.10415,141.89479,28.8
220,-38.10395,141.87146,22.7
221,-38.10367,141.88239,1.4
222,-38.10332,141.87598,22.7
223,-38.10302,141.87755,1.4
224,-38.10269,141.88049,43.2
225,-38.10238,141.87271,1.4
226,-38.10212,141.89764,1.1
227,-38.10185,141.86165,32.8
228,-38.10173,141.86787,1.4
229,-38.10147,141.89279,1.1
230,-38.10141,141.88951,14.1
231,-38.10122,141.86617,32.8
232,-38.10108,141.86305,1.1
233,-38.10083,141.88795,1.1
234,-38.10078,141.89404,14.1
235,-38.10059,141.8707,22.7
236,-38.10043,141.85823,1.1
237,-38.10019,141.88312,1.4
238,-38.09995,141.8752,22.7
239,-38.09954,141.8783,1.4
240,-38.09932,141.87973,43.2
241,-38.09914,141.84859,1.3
242,-38.09889,141.87346,1.4
243,-38.09868,141.88425,43.2
244,-38.09849,141.84375,1.0
245,-38.09848,141.8609,16.0
246,-38.09824,141.86864,1.4
247,-38.09805,141.88876,14.1
248,-38.09799,141.89354,1.1
249,-38.09784,141.83891,1.0
250,-38.0976,141.8638,1.1
251,-38.09742,141.89328,14.1
252,-38.09734,141.88872,1.1
253,-38.09695,141.85898,1.1
254,-38.09688,141.22685,1.0
255,-38.09678,141.8978,7.0
256,-38.0967,141.88388,1.3
257,-38.09659,141.17413,2.6
258,-38.09641,141.19812,1.5
259,-38.0963,141.85416,1.3
260,-38.09623,141.22218,1.1
261,-38.09595,141.16951,2.6
262,-38.09574,141.85562,13.4
263,-38.09565,141.84933,1.3
264,-38.09515,141.89914,1.3
265,-38.09512,141.18881,18.3
266,-38.09501,141.8445,1.0
267,-38.09447,141.18414,14.8
268,-38.09436,141.83968,1.0
269,-38.09426,141.84131,10.4
270,-38.09382,141.17952,14.8
271,-38.09371,141.83485,1.0
272,-38.09364,141.20355,1.5
273,-38.09363,141.84583,10.4
274,-38.09347,141.85973,1.6
275,-38.09346,141.22762,1.1
276,-38.09317,141.1749,3.1
277,-38.09306,141.83003,1.0
278,-38.09299,141.1989,1.5
279,-38.09282,141.8549,1.0
280,-38.09281,141.22295,1.0
281,-38.09253,141.17026,3.1
282,-38.09234,141.19423,18.3
283,-38.09217,141.85007,1.0
284,-38.09216,141.21828,1.0
285,-38.09188,141.16562,6.4
286,-38.09169,141.18958,18.3
287,-38.09153,141.84525,1.5
288,-38.09105,141.18492,14.8
289,-38.0904,141.18028,14.8
290,-38.09026,141.84505,10.4
291,-38.09022,141.20433,28.5
292,-38.09003,141.22838,1.1
293,-38.08976,141.17564,3.1
